Wall time,Step,Value
1502776936.7314997,0,0.8440945148468018
1502776945.3268545,2,0.8282336592674255
1502776953.7683692,4,0.8245872855186462
1502776962.2960072,6,0.8951042890548706
1502776970.7589755,8,0.8345016837120056
1502776979.1600835,10,0.8295833468437195
1502776987.6316595,12,0.8381974697113037
1502776996.1413856,14,0.8182768821716309
1502777004.6986167,16,0.8042815923690796
1502777013.131354,18,0.8441722393035889
1502777029.8631012,20,0.7579675316810608
1502777038.2751572,22,0.8314948678016663
1502777046.7016418,24,0.8434726595878601
1502777055.1040616,26,0.8329964876174927
1502777063.4857419,28,0.8703360557556152
1502777071.9879458,30,0.7997731566429138
1502777080.4290316,32,0.8750812411308289
1502777088.8727772,34,0.8667710423469543
1502777097.3092277,36,0.7811174988746643
1502777105.7937899,38,0.8212271928787231
1502777122.4568505,40,0.8599306344985962
1502777130.930738,42,0.8561995029449463
1502777139.436898,44,0.9527566432952881
1502777147.859686,46,0.9694477915763855
1502777156.2697456,48,0.897817850112915
1502777164.7162192,50,0.8944506645202637
1502777173.1209164,52,0.9171695709228516
1502777181.5832481,54,0.9396588206291199
1502777190.0562024,56,0.966518759727478
1502777198.4969056,58,0.9679037928581238
1502777215.384535,60,0.9708151817321777
1502777223.8122516,62,0.9615333080291748
1502777232.2656531,64,0.9533326029777527
1502777240.6227334,66,0.9263207316398621
1502777249.0476987,68,0.9620067477226257
1502777257.4880068,70,0.9732319712638855
1502777265.903339,72,0.9688648581504822
1502777274.391112,74,0.9959049224853516
1502777282.840008,76,0.9700979590415955
1502777291.2717173,78,0.9922056198120117
1502777308.2708163,80,0.9922798275947571
1502777316.717437,82,0.9764401316642761
1502777325.2012877,84,0.9628017544746399
1502777333.6120808,86,0.9562828540802002
1502777342.06487,88,0.9793763160705566
1502777350.434925,90,0.9691686630249023
1502777358.907789,92,0.9729457497596741
1502777367.5078323,94,0.9737160205841064
1502777375.9953535,96,0.9589645862579346
1502777384.4440413,98,0.9650135636329651
1502777401.7818687,100,0.9057995080947876
1502777410.2490706,102,0.967709481716156
1502777418.762018,104,0.9953396320343018
1502777427.2128184,106,0.9934952259063721
1502777435.699791,108,0.9690732955932617
1502777444.0893624,110,0.9593320488929749
1502777452.5390375,112,0.9266881942749023
1502777461.0162373,114,0.9318432211875916
1502777469.4848287,116,0.9847609996795654
1502777477.8471677,118,0.9209324717521667
1502777495.2489452,120,0.9811182022094727
1502777503.7460546,122,0.9325569272041321
1502777512.1967978,124,0.9560143351554871
1502777520.66367,126,0.9395245909690857
1502777529.1108527,128,0.9687023162841797
1502777537.515749,130,0.9875063896179199
1502777546.060081,132,0.9889408946037292
1502777554.465028,134,0.9616498947143555
1502777562.882838,136,0.954957902431488
1502777571.3206322,138,0.9917639493942261
1502777589.0898514,140,0.993269145488739
1502777597.5428495,142,0.9048561453819275
1502777606.0180662,144,0.9894885420799255
1502777614.412607,146,0.9801394939422607
1502777622.891152,148,0.9428316950798035
1502777631.3638542,150,0.9729563593864441
1502777640.0149004,152,0.9597984552383423
1502777648.4922152,154,0.9075943827629089
1502777656.9776375,156,0.913321852684021
1502777665.39347,158,0.9506402015686035
1502777683.1578887,160,0.9610951542854309
1502777691.684317,162,0.9832134246826172
1502777700.15073,164,0.9640737175941467
1502777708.740148,166,0.9602401256561279
1502777717.255651,168,0.970126211643219
1502777725.8867643,170,0.967395007610321
1502777734.3853555,172,0.9870258569717407
1502777742.9265666,174,0.9580742120742798
1502777751.413224,176,0.9706032276153564
1502777759.9881449,178,0.9817541837692261
1502777777.8992472,180,0.9927391409873962
1502777786.404625,182,0.964935839176178
1502777794.8912697,184,0.9578375220298767
1502777803.3264177,186,0.9740127921104431
1502777811.820437,188,0.9887853860855103
1502777820.255389,190,0.9839024543762207
1502777828.7450566,192,0.9644588232040405
1502777837.2139456,194,0.964080810546875
1502777845.7978015,196,0.9614908695220947
1502777854.2847908,198,0.9677907228469849
