Wall time,Step,Value
1502776936.7314997,0,0.309774786233902
1502776945.3268545,2,0.28326836228370667
1502776953.7683692,4,0.2590075433254242
1502776962.2960072,6,0.1950564682483673
1502776970.7589755,8,0.2234625220298767
1502776979.1600835,10,0.22264257073402405
1502776987.6316595,12,0.2123662233352661
1502776996.1413856,14,0.22312726080417633
1502777004.6986167,16,0.22862286865711212
1502777013.131354,18,0.1886451691389084
1502777029.8631012,20,0.23045489192008972
1502777038.2751572,22,0.18092834949493408
1502777046.7016418,24,0.15635669231414795
1502777055.1040616,26,0.17015333473682404
1502777063.4857419,28,0.1234135627746582
1502777071.9879458,30,0.2679615914821625
1502777080.4290316,32,0.13869327306747437
1502777088.8727772,34,0.13938911259174347
1502777097.3092277,36,0.17509116232395172
1502777105.7937899,38,0.12890031933784485
1502777122.4568505,40,0.1096750944852829
1502777130.930738,42,0.09890221059322357
1502777139.436898,44,0.11053872853517532
1502777147.859686,46,0.0777963250875473
1502777156.2697456,48,0.2452768236398697
1502777164.7162192,50,0.1649613231420517
1502777173.1209164,52,0.11674320697784424
1502777181.5832481,54,0.1075478196144104
1502777190.0562024,56,0.07011479139328003
1502777198.4969056,58,0.06298625469207764
1502777215.384535,60,0.045830417424440384
1502777223.8122516,62,0.06003889814019203
1502777232.2656531,64,0.08312055468559265
1502777240.6227334,66,0.22905036807060242
1502777249.0476987,68,0.0633750706911087
1502777257.4880068,70,0.04495977982878685
1502777265.903339,72,0.07525037974119186
1502777274.391112,74,0.008607691153883934
1502777282.840008,76,0.058288879692554474
1502777291.2717173,78,0.013379490002989769
1502777308.2708163,80,0.012983274646103382
1502777316.717437,82,0.04121074080467224
1502777325.2012877,84,0.07295993715524673
1502777333.6120808,86,0.08175300061702728
1502777342.06487,88,0.04908362403512001
1502777350.434925,90,0.04793340340256691
1502777358.907789,92,0.04508798196911812
1502777367.5078323,94,0.03706393763422966
1502777375.9953535,96,0.09338175505399704
1502777384.4440413,98,0.053035933524370193
1502777401.7818687,100,0.12652191519737244
1502777410.2490706,102,0.04621254280209541
1502777418.762018,104,0.010187147185206413
1502777427.2128184,106,0.01217376347631216
1502777435.699791,108,0.040801506489515305
1502777444.0893624,110,0.07347743213176727
1502777452.5390375,112,0.11287613213062286
1502777461.0162373,114,0.09173683822154999
1502777469.4848287,116,0.031080065295100212
1502777477.8471677,118,0.09952638298273087
1502777495.2489452,120,0.031754545867443085
1502777503.7460546,122,0.10225771367549896
1502777512.1967978,124,0.06410867720842361
1502777520.66367,126,0.10690155625343323
1502777529.1108527,128,0.05550166219472885
1502777537.515749,130,0.01845814846456051
1502777546.060081,132,0.016427921131253242
1502777554.465028,134,0.0608506053686142
1502777562.882838,136,0.06935695558786392
1502777571.3206322,138,0.012765040621161461
1502777589.0898514,140,0.011170991696417332
1502777597.5428495,142,0.17907577753067017
1502777606.0180662,144,0.019646136090159416
1502777614.412607,146,0.039334964007139206
1502777622.891152,148,0.08070435374975204
1502777631.3638542,150,0.04758245870471001
1502777640.0149004,152,0.10583720356225967
1502777648.4922152,154,0.11629214882850647
1502777656.9776375,156,0.10993970185518265
1502777665.39347,158,0.05868829786777496
1502777683.1578887,160,0.07569583505392075
1502777691.684317,162,0.03595760464668274
1502777700.15073,164,0.06957799196243286
1502777708.740148,166,0.046876877546310425
1502777717.255651,168,0.04943934082984924
1502777725.8867643,170,0.04766077175736427
1502777734.3853555,172,0.02506367303431034
1502777742.9265666,174,0.06482940912246704
1502777751.413224,176,0.05963359400629997
1502777759.9881449,178,0.03313347324728966
1502777777.8992472,180,0.01111181266605854
1502777786.404625,182,0.05207233130931854
1502777794.8912697,184,0.09669336676597595
1502777803.3264177,186,0.05136262625455856
1502777811.820437,188,0.015927070751786232
1502777820.255389,190,0.035968098789453506
1502777828.7450566,192,0.05015810951590538
1502777837.2139456,194,0.08362391591072083
1502777845.7978015,196,0.07493540644645691
1502777854.2847908,198,0.06612689793109894
